text,label,exp_split,Generated_Label
Islam is not a race you dumb mother fuckers. You have a choice to believe the bullshit of islam. You are not born muslim. Islamophobia is a fake word and islam is a sick perverse political ideology. Open to criticism and rejection like any other. The motherload of bad ideas. May the slave state of qatar and saudi arabia be turned to irradiated glass. The sooner the better.,1,train,1
"I guess he does not care about God since he did NOT swear on the Bible that he ""walked"" on the moooon LOL",0,train,0
"We do not need Islam in any way or fashion. Islam should be banned. Dearborn is lost. America will fall soon. Obummer has succeeded in advancing the absolute foul teachings and culture of Islam. Other cultures are interesting because they know respect and tolerance. Not Islam, though. Islam has killed more people than any other war or group in the history of the world. 290 million and counting! The total for this year's ramadan was over 1600 in a month!
Islam sucks. Any one who practices the teachings of the dwarf Mohammed do so because a lack of intelligence brought on too many incestuous relations in the bloodline.",1,train,1
I believe what makes a women beautiful is her belief in herself in every way. Has self confidence and a strength over and above board. Loves helping and giving from the goodness of her heart. That's a very beautiful women!😊,0,train,0
Islam is the plague,1,train,1
"1. Declare martial law 
2. Let the army handle this scum",1,train,"1
1"
what the fuck is there to investigate put this bitch ass nigga in jail,1,train,1
Sounds like a white person committing crimes period.,0,train,0
I'm back off the Border Patrol they're doing what they're supposed to be doing if that they want to come here let them do it legally Legally Legally Legally get the picture.!! You all just want illegal votes that's all you want,0,train,1
That is one ugly woman,0,train,1
Men would have duels now they have but sex eyy GG,0,train,1
Not everyday you get to see a rape culture get shipped into a country literally.,1,train,1
not today and we nuked Japan because they attacked our land and we showed the rest of you country's what will happen if you mess with the best country in the world,0,train,1
Spray the boats with a .50 cal...........they do NOT have the right to come here!,1,train,1
"'Americans'....all smug, self-righteous European invaders, murderers and thieves....still doing whatever they want and piously calling themselves leaders of justice, and freedom.",1,train,1
fuk Muslim,1,train,1
you're not welcome anymore Sergio go back to your country and be a man take your f****** kids with you and your wife we're sick of f****** illegal immigrants,1,train,1
"This presidency is going to fail like all his other bushiness, at least hes consistent!. Great job white Amerikkka!",0,train,1
deport!!!!! too many tacos???!!,1,train,1
"Islam is not only killing other innocent people, they are killing their own Muslims too. 
Islam sucks. Fuck Allah! Fuck Mohammed!",1,train,1
Cringe worthy and shitty song fuck islam you're not fooling any one.,1,train,1
"I want to ask the fucking retard dumb fuck Muslims from the Paris mosque who saved the thousands of Jews during world war 2 from the Nazi soldiers by giving them a fake Muslim id's, Is this what you wanted? what the fucking fuck were you thinking when you saved them?",1,train,1
"MACHINE GUN AND GRENADE THEM TO PIECES, THEY ARE A FOREIGN INVASION FORCE. Kill them all
why didn't they run to Saudi Arabia.",1,train,1
"Mohamed decapitated 900 persons by his own hands in Medina and islam is about robbery, rape, pedophilia and genocidal murders...Over a billion victims and they are invading NOW to kill you, rape your wife and children and sell them as sex slaves or worked to death as they have done for a thousand years everywhere they invaded. NO PEACE ON EARTH UNTIL ALL MUSLIMS ARE KILLED.",1,train,1
shoot all Muslim scums.,1,train,1
"How are there any ""innocent civilians"" LEFT in Syria to BE collateral damage? The fuckers are all over Europe!",1,train,1
"go home muslims,  we don't want your scum here",1,train,1
Democrats using African Americans again,0,train,1
I'm an Asian American born in US. Those 4 don't represent me.,0,train,0
"You know, I was going to say something similar due to his attending a Jesuit college..........catholicism is some kind of evil",0,train,1
"Saudis and Emiratis pay US to fight their dirty wars, yet US has been paying Israel for decades and fighting Israeli's never ending dirty wars. Why is US being blackmailed by Israel for so long ?",0,train,1
"Parasites running!!!
Take this arabs and nigers garbage and throw to sea",1,train,1
"I love these Zionists and their ""they started it"". 1- it's a childish justification for killing innocent men, women, children, and elderly. 2- If you want to go there, the Zionists started it by occupying a land and forcing hundreds of thousands, who were living peacefully side by side with Jews,  off their land. Massacring whole villages like Yasser Diem. And using a superior military and finance to isolate the remaining Arabs on the least fertile and desirable land in the country. 3-They are too stupid to realize that the Israeli leadership has lied to them. Using mind control tactics to gain their support. Most good Jews gone bad have no idea of the original massacres. They have no idea of the evil that the Israeli army has taken part in. They have no idea of the censorship. 99% of Jews are good people. Some, or too many, are just brainwashed with a form of blind patriotism. And the same can be said for Palestinians. But the fact is, it is the innocents on both side that suffer for the Zionist elites like the Rothschild's. Fuck Israel. Jews have a homeland here in the US. Just stop being murderous sociopaths first. God bless good Arab people. God bless good Jewish people. God bless good people. Fuck the sociopaths that manipulate the sheeple. Fuck Mossad and their evil tricks and false flags. Fuck the Zionist elite.",1,train,1
2:38 yep those Israeli are good at stealing ppl lands  and dividing nations.,1,train,1
I hate seeing scandinavia being destroyed by parasites,1,train,1
time to use real bullets i think especially against the scum ngo groups financed by soros to act as charaties when infact they are lying to the refugees twlling them to cross the border where richness and unlimired supply of blonde women await.,1,train,1
Why don t you take them seeing it s all your fault they are here anyway you piece of shit american scum,1,train,1
Don't watch then faggot,0,train,1
"Terrorist attack for sure. America is under God's judgement! How long did you prideful, privileged, wicked minded people think that God would let you continue to oppress His Chosen Ones you stole, murdered, and enslaved and not reap?",0,train,1
Looks like the hardest part about riding that trike is telling your mom your gay...,0,train,1
This is why WHITE PEOPLE don't need to be in the fucking country! They don't know how to respect wildlife like the Native Americans!,0,train,1
"how about Sharia laws and their hate of women,",0,train,1
@Allia padwar like you Europeans didn't use to do that. Last time I checked y'all caused the last 2 global wars and caused the death of millions of innocent people and young lads that were fooled to fight for their government and not for their homelands. Europe was doomed from the minute that Serbian dude shot the Archdick of Austria who was riding in an open car.,0,train,1
Scared of a Black man abilities to do something positive with there brand 🤫,0,train,1
"I hate when uneducated immature people always blame everything on religion. I'm a religious Muslim and I don't care what anyone does or say against ISLAM because they're are people that are just too dumb to even waste your time on. Being hated because of my religion doesn't have any effect on me. True religious people do not condone violence, these people are mentally unstable that did this to her and I wish they all get what they deserve and may she be granted heaven. No one deserves to die like that no matter what they do and no one has the right to take someone else's life",1,train,0
She herself is a transgender. Her sister too.,0,train,0
"I am sick and tired of greedy companies taking away land from Indigenous people! Just leave them alone. Haven't we done enough to them in the past! 
This makes me so angry that they think they can do this even though the Chief's of the tribes says NO. 
Shame on those oil pipeline companies!",1,train,1
"Wtf
Vladimir potin is no joke you mother fucking Americans ",1,train,1
Savage sub-human refugees. They would be better off dead.,1,train,1
Kill these bastards,1,train,1
Lmao what can you expect from this cocksucking Zionists XD,1,train,1
"They went easy on the filth , when crossing a country's border without a permit from the country's government you are a trespassing  , trespassers should be stopped with lethal force. Fuck the brainwashed sheep that support the occupation of europe , your minds are clouded by political correctness , fuck Merkel the whore that let her own nation be raped and beaten by the muslim filth , without lifting a finger all in fear of being called a racist. The true european countries will not tolerate their borders being overrun by these filthy animals. Good job Hungary , cave the refugees's skulls in next time.",1,train,1
So if your daughter got raped 20 years ago or taken advantage of u gone say well let him free it was 20 years ago stfu ! Y'all sick it's sad young black women can be taken advantage of & black women like yourself a say wel it was 20 years ago u apart of the problem why people get away with shit because yall put time limits on rape and molestation !,0,train,1
"if you the light skin lil wayne then do something about it faggot instead of going off the grid for months/years and then releasing a mediocre album with a track and a video that totally rips off Weezy. ""know what i mean""",0,train,1
I think it was randy orton I saw his twitter,0,train,0
Bobus McDerpus oh wow you're queer and you use homophobic slurs to try and belittle others? What you one of those self-loathing gays? Or do you just lie to try and make yourself look better?! You claiming to date a man is like a racist saying I fuck black chicks. So did president Jackson and we all know he owned slaves. Fix your personality it's problematic and gross. The lgbt community doesn't need one of its own using the rhetoric you did.,0,train,1
"Kill as many Muslims as possible, they r like true cancer to this planet",1,train,1
He is a self worshiping pig!!! He needs to meet a fine gentlemen call Hitler.,1,train,1
Fabulous to see a woman win WImbledon this year. Serena's testicles must be hurtin.,0,train,1
"franco monno because it is a social construct and is used to shame young women who have had sex, bigot",0,train,1
That's just not fair. Poverty and poor families are ever where If your poor and down on your luck it's just the hand your dealt Black or White I wouldn't be so quick to blame others. Everyone has to pick themselves up Without blames or excuses. What's next ? If a race was known to have a certain sickness than others. What ? Are they going to blame them for that to ? Being poor or rich isn't supposed to happen to certain people What ever you end up being one only hopes and prays everyone is capable of doing the best you can do,0,train,0
"+Tom Green talking about mexicans he said quote ""They are not our friend, believe me. They're bringing drugs. They're bringing crime. They're rapists. And some, I assume, are good people."" He also called Afghanistan ""terrorist heaven""   if you tell me that isn't racist then you're racist yourself",0,train,1
Hijab is a symbol of slavery and islam is not a religion. Islam is a political theory same as nazi.,1,train,1
What kind of South Asian cry eating spice? We disown him.,0,train,0
ZIG ZAG Ground ZERO i bet you wouldnt say that to his face. 😂. Why would you even watch the video if you dont even care about the man? You must be one of utubes official TROLLS. Get back to your color sheets and crayons punk. Providing you havent eaten all of them 😏🙄,0,train,1
what every mockery refugee art u perform  u still belong to a shit community..   stop islam and world will be a better place,1,train,1
"AJ+ news is pro islam , and pro turning europe into a muslim shit hole. i'm blocking vids from this channel cya.",1,train,1
"Its time to offer a free trip to the Africa to all black people from Usa.
White Americans own them that.",1,train,1
Fuck israel.....protest the bastards wherever they go....play Jew Knock-out and win bitcoins!,1,train,1
"Great women, I can see how insecure men could be intimidated by them. I find them amazing and inspiring.",0,train,0
"the stereotype is that women cant do this in iran and Saudi Arabia....
wanna break the stereotype, go there",1,train,0
"use real bullets, ratko mladic know the cure.",1,train,1
Dude it is dressed like a whole Dyke out here😏😂😂😂,0,train,1
"THIS PAGE WILL NEVER TELL YOU,THAT THOSE ISLAMIC ROHINGYAS ARE NOT FROM MYANMAR..BUT BANGLADESH.....LIKE WHAT THEIR DOING IN EUROPE, THEY ARE DOING IT ASIA....INVADING TERROTORIES AND DEMANDING THAT THEY BE GIVEN LANDS.... THEIR DOING IT THE PHILIPPINES  AND MYANMAR..... BUT THEY WOULD NEVER GO TO INDONESIA OR MALAYSIA BOTH ISLAMIC COUNTRIES THAT DOES NOT WELCOME ANYONE ELSE BUT MUSLIMS......JUST COUNTRIES WHERE MUSLIM  DOES NOT EXIST.....,FUCK ISLAM,",1,train,1
the fuck is this gay shit?,0,train,1
#islamiscancer,1,train,1
The only path to peace in the middle east is the total dismantlement of the freak state of Israel. Deport them all back to europe and russia where they belong.,1,train,1
Those women are demon possessed.,0,train,1
"American cops are the worst! Fucking dogs, should shoot them on the spot for shit like this. Law enforcers... yeah right.",1,train,1
160 Illegal Aliens crossed the US border just to thumbs down this video.,0,train,1
Muslims are like cockroaches. Nobody want cockroaches in their homes.,1,train,1
Deport AOC and friends to mexico! Tell them if they want to help the problem to start there! Problem solved for all!,0,train,1
F**CKING a-holes : This is not Pakistan or the middle east. Why dont you take your narrow minded attitudes and crawl back under the rock where you actually belong!,1,train,1
Israeli hypocrites no different from hitler and the Nazis.,1,train,1
Wahmins can do anything. Gender is a social construct. Can't the dumb feminists get their message strait?,0,train,1
Let's grow actually NY passed a bill allowing illegal immigrants a state drivers license that is not differentiated from a US citizens license. And all they need to vote is a license so...,0,train,1
+Raymundo11 shut the fuck up Europeans rob entire continets wholesale but want to talk about Africans lol return the entire continent of America and Australia you scumbags,0,train,1
Bullshit freedom ship but the poor are not allowed to in it where's the freedom there?!?!?!? That old bastard should name it THE FUCKING RICH ONLY VESSEL,1,train,1
Says a lot about how dumb american white boys are?,0,train,1
go back wher came form you not fuck well came no wher fuck deves you fuck are back to yiur fuck sea,1,train,1
Not anymore Sweden are full and have border control now you ungrateful scum,1,train,1
fack palstina,1,train,1
dis shiet be racist af!,0,train,1
*Why not cast a transgender African-amarican as mulan too eh?*,0,train,1
DEPORT ALL OF THEM ASAP,0,train,1
" The Hypocrisy of Muslims is soo funny! 
Death to All Religions...",1,train,1
join our church called santa caca. we all poop!,1,train,0
This is first and foremost a disaster in the Middle East was created by the oil hunger greedy western Zionist and its elite puppet leaders in the Arab world! They should all deal with it! Who are you fooling here?! Go and fool sheeple! Shame on you!,1,train,1
This lady want Pm to be inclusive but what about u mam ..Tum Jo hamesha Muslim Muslim Karti rahti ho uska kya .Kya Iss Desh m or religion nhi h..Kya samaj m or log nhi marte ..Bakwaas band karo or ghar Jake socho.,0,train,1
I was surprised they were showing respect to a white man...then I learned he was gay. That makes more sense.,0,train,0
smelly jew try to pew,1,train,1
Any day now all the blacks will start going back to Africa to escape police brutality...,0,train,1
Iranians are very intelligent. They dont want war. Hopefully theyll get rid of that ugly religious govt enslaving them all. But they need to do it to make it stick. Like we need to do our own revolution and reinforce seperation of church and state.,0,train,0
"It is absolutely stunning to see a society as brilliant, efficient and clean as Germany become so stupid and inept about the dangers they are putting their people in.",1,train,1
"So we get mad when they shoot our drone down but it's okay when we shoot theirs down, lol yeah whatever I'm sick of this just get out of the Middle East for the love of god forget Israel they are their own country it's not our job to hold their hand. Notice a lot of y'all cheering, attacks are nothing to cheer about guys and girls, also I'm a trump supporter so yeah.",0,train,1
"germany has become a piece of shit thanks to those cheering marxists , rapes,  murder, theft and anti social behavior will become the norm ,I will not want to visit that hell hole ever again, full of brainwashed left wing marxists and ungrateful immigrants who want to turn germany to the dark ages of misogyny, fear and terror.",1,train,1
"What we need to do is vote, and vote hard.. and vote because our parent's generation fucked up big time and we're going to be as good if not better than our grandparent's generation to fix what the baby boomers broke. I don't know about the rest of you but I had all I could take of the baby boomer's crap that the economy doing sluggishly because we're taking 'selfies' and do nothing. I think it's a little absurd that an almost an entire generation that became of age at some point between the mid 60's '70s and '80s, who at that time, had the easy access to what they call 'real jobs', who then went on to become politicians and community leaders, District Judges etc. and put into place rules and laws set up for failure during the '90s and early to mid '00s  and then have the GALL to blame us for their irresponsibility.  All of this that's happening to us now was destined to happen long before our generation even knew what money even was. We need to get out there and fix our country! Fix our government! and vote these old greedy corporate farts out of office! We need to learn more from our grandparents era and avoid their mistakes as well as our parent's. We need to fix our economy not just for us millennials, but for our children's generation, and the generations long after we've taken our last breath. WE ARE GENERATION Y AND WE ARE TAKING OVER WHETHER YOU LIKE IT OR NOT!!",1,train,1
"no muzzie scum should ever get a gun or badge, if a muslim pig ever comes near me, some politicians are going to lose some family members , mass deportation.....NOW! SEND THEM ALL BACK TO THE MIDDLE EAST",1,train,1
Nasty ass old white men. Send them all to prison right along with RKelly!!,0,train,1
keep those fuckers out of the U.S,1,train,1
Jews.. Hitler was damn right,1,train,1
Click click.. boom!,1,train,0
"Why does it have to be so hard to get citizenship to other countries. I mean, I wouldn't want us citizens their if I was them either, but still.",0,train,0
Ana is white,0,train,0
Islam is cancerous poison.,1,train,1
filthy Porki muslim motherfuckers,1,train,1
"The Me Too movement is even back firing on women, because 60% of men don't want to mentor or work with women.",0,train,1
"Kill all the Syrian refugees!
They are all Jewish!",1,train,"1
1"
"The permenant solution is easy. 
Ship the garbage back to the country they came from",1,train,1
I hate religious  people who blame the devil for making them say very insulting  statements. ,1,train,1
stupid liberal billionare,1,train,1
@Aditya Mondal India win the match by 149 runs,0,train,0
Why didn't they make Mulan a man because of inclusion  and diversity?,0,train,0
"Blame Russia cnn, yet they haven't invaded any country or produced any immigrant fleeing.. Now Europe is invaded by Muslims, wonder why? Might be cuz USA is ither bombing suporting bombings or has bombed some Arab country.. Yeah Russia is evil and the world is watching",0,train,1
Being gay and lesbian goes against the teachings of the Bible. Read Leviticus 18:22. Anyone with homosexual thoughts/behavior are not true Christians or perform sinful acts,0,train,1
"right I'm conserded to be white, but my skin is darker than hers.",0,train,0
A female terminator? The Feminists are taking over! *I'm An Adult Virgin*,0,train,1
Hei! Tell trump to send this scientist back to his country. He is a forenghners.,0,train,1
"@Paul Davis Exactly, why do you think they picked a brown Hispanic woman/girl? At first she disarms you with her looks and then she attacks with selfrighteous lying dribble that causes chaos then she's off to climate change.Leaving all in a wake. She had no intention of solving any of the issues. What about this what about that? Look over here look over there. She has cried wolf too many times!",0,train,1
U forgot Isreal. Every citizen in Isreal is in the army talkless the have nukes and aircraft.,0,train,1
Why is all these rapers die when they just trying to help like him and xxxtentacion,0,train,1
"return to Syria if things go well? :D Think again. These people are as naive as I supposed. They don't know the dynamics of war in muslim countries. Muslims are evil fiends they hate others and one another. Nothing can go well. Their countries are eternal refugee factories. Almost all of the refugees Europe got in the past 40 years are from Islam. Time to deport most of them. anyway they are 99% men coming here. We don't need that don't we? We don't need 99% preachers of Koran telling Europeans what a moral life should mean and our women to wear a burka or get raped, beaten and killed!  Most of them deal drugs, run thief gangs, commit crimes, murder force women into prostitution. Don't believe me? Ask the Swedes, ask the British, ask the French, ask the Belgians, ask the Dutch, ask the Italians, ask the Austrians, as the Spanish Youtube is full of muslim drug pushers and criminals. Women are all covered and don't work don't speak the language. What a mess!! Shed your demonic faith or get the hell out of our countries! Your hands are covered with the blood of christians you scum!",1,train,1
Oh no how horrible...maybe they'll flee back to Syria,1,train,0
Beta males. So weak & obviously quite mad.,0,train,1
It's always about the pedophilia elitists from the synagogue of Satan who grab infants by the penis and cut off their foreskins. Are these protesters mostly racist Semites or anti Semites?,0,train,1
Black is the hottest and best race. I am hispanic and white and i approve this message.,0,train,1
nah  no big deal  jews loves this .they love taking others lands  with force,1,train,1
"''whatever your background we stand together''. "" We have a great future "" No we don't. Racist china and racist japan has a future.",0,train,1
whites are lazy tbats a fact just like blacks lazy latinos work any job any job,1,train,1
"It's been stated before, but it is worth repeating: AJ is the propaganda wing for the slave-holding, women-oppressing, rape victim-punishing, terrorism-funding islamofascist Qatar dictatorship. Videos like this one is aimed at fear mongering the populace and delegitimizing the elected US government. Bear in mind that it's coming from a country ruled through generations by a single family that does not allow independent media to set foot inside the country and that deprives their citizens of basic freedoms. Goebbels would be proud...",1,train,1
"True that , FUck islam

Maybe not all the muslim are terrorists , but all terrorists are muslim ... think about it you ignorrant fucks",1,train,1
"Bullshit Video ... That man at the start of the Video grabbed his wife and kids and threw them down on the track , the police were actually picking them up .Laws are there for a reason and when u are I someone else's country regardless of circumstances... U follow the law . Respect the laws religions and the people . If u don't follow the law then u get fucked back 2 whatever Country u r from ...",1,train,1
I am leaving the USA and moving to Switzerland this winter. Really excited to leave this politically correct state of fuckwads!,1,train,1
Selam and respect Iran from Bosnia,0,train,0
"Thoughts and prayers. Louisiana a state that supports racist pigs, they believe that liberals are devils, thanks for that. Ironic how so many of ""gods"" wrath happens to these ""Christian anti abortion, antisemitic, homophobic "" states at a constant level.  Mm.",0,train,1
The Talmud IS blasphemy of the Holy Spirit. Jesus said that was the only unforgivable sin.  He was talking about it because of this this end time because it will influence the whole world. Could the Talmud be a beast? Or a snake or something from revelation? I know those Talmud writers are descendants of those Jesus called seed of vipers.,0,train,1
Don't you have to be a human to register as a refugee?,1,train,0
"Illhan Omar is just what Trump needed,with her bashing America and her antisemitism against Jewish people and her obvious love of terrorist groups. 2020 is an automatic win for Trump! 4 more years for the country to become Greater! Thanks to the Squad you Imbeciles,your ridiculous and soon to be out of a job in government! Not to worry,Trumps economy makes it easy to find a new job.",0,train,1
Oy vey! The fake Jews media is at it again!,0,train,1
should deport all of them,1,train,1
Jessica androgynous is on the juice,0,train,0
"Hossein Bagherpour don't worry about the English, they are too inbred to do anything without the help of France and the USA. Let the queen and her peasants worry about Iran",0,train,1
Was the shooter a white male trump supporter? Lets bet,0,train,1
"@Candida Navedo You are a closet racist, deal with it.",0,train,1
the funny things Americanpigs celebrating their genocide as Thanksgiving for their evil god.,0,train,1
That white kid ruined the woah part😡😡,0,train,1
"Being trans in Sweden is ok but we have to deal with so much bureaucracy when we turn to the trans specific healthcare. There's a lot of waiting involved. I reached out to a gender therapist in mid 2016 and waited two years for hormones and 2,5-3 years for top surgery and legal gender reassignment. That sucks when you just need help to live your life as yourself.",0,train,0
comeon you mother fucker filthy animals. go back where you coming from.  and take your fuckin culture and religion with you. what do expect from Hungarians or other nations in Europe? You entering the country illegally ruin everything on your way running your fuckin mouth all the time complaining about everything how bad everybody is except you. open your eyes original  Europeans and don't buy this biased reporting,1,train,1
Sachin was the icon player till he retired in 2013 for Mumbai Indians,0,train,0
"I can understand why they are in Denmark because it's right next door to Turkey ... Seriously, take them to IKEA, give them a hot dog and have then flat-packed back to their origin country.",1,train,1
American should stop invading any country through regime change. Other wise Asylums must keep on coming to United States.,0,train,0
Go back to the middle east (like saudi arabia and places where there isn't a problem with isis) and take trudeau with you.,1,train,1
this is a invasion send them back just like USA..  there will be no Europe left look at Yugoslavia they tried this with muslims and now their country is dominated by muslims ...  eu helped the jihadists enter europe,1,train,1
"Uhhh, this is more lies designed to make you hate Iran",0,train,0
You people have no idea what racist even means! All you Lefty's are a joke and are traitors and should be banned from this country and never let back in. You support killing new borns. You support making prostitution legal. You support open borders. You support children being able vote. This is all the proof true Americans need to kick your sick minds outta this country forever.,0,train,1
I hate lebanon,1,train,1
That's not the real comment you facking nagger fagget,0,train,1
It is like finding refuge in house of your murderer. American is at the root of this evil.,1,train,1
omg you are weak 24/4/7 men you pick rong fight i'am savage you are avrige men you pick fight!! ilke this it will be blue ps small youtuber | | | | |,0,train,0
Why the fuck do we keep having them as allies? ,1,train,1
