,text,label,exp_split,ChatGPT Response
33,"Send those four hundred men back home , we don't want or need them.",0,train,"{
  ""text"": ""Send those four hundred men back home , we don't want or need them."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
34,"they are parasites, plain and simple",1,train,"{
  ""text"": ""they are parasites, plain and simple"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""parasites""
  ]
}"
35,"Shut the fuck up, you want me Bitches get mad that I swallow more cum than they can Wanna give me a hand? 'Cause I'll deep-throat your dad Then he'll cum on my face before I go on MySpace",0,train,"{
  ""text"": ""Shut the fuck up, you want me Bitches get mad that I swallow more cum than they can Wanna give me a hand? 'Cause I'll deep-throat your dad Then he'll cum on my face before I go on MySpace"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck"",
    ""cum""
  ]
}"
36,I'm pretty sure it's the gay sex with random street urchins that gave you AID's. But you also might want to get your father tested too because he could've given it to you.,0,train,"{
  ""text"": ""I'm pretty sure it's the gay sex with random street urchins that gave you AID's. But you also might want to get your father tested too because he could've given it to you."",
  ""rationales"": [],
  ""derogatory_language"": [
    ""gay"",
    ""street urchins""
  ],
  ""cuss_words"": [
    ""AID's""
  ]
}"
37,One of those animals lands on my doorstep I'll blow his fucking head off and feed him to the pigs. Nothing but monkeys with 60 IQ.,1,train,"{
  ""text"": ""One of those animals lands on my doorstep I'll blow his fucking head off and feed him to the pigs. Nothing but monkeys with 60 IQ."",
  ""rationales"": [],
  ""derogatory_language"": [
    ""animals"",
    ""monkeys""
  ],
  ""cuss_words"": [
    ""fucking""
  ]
}"
38,"Australia supports the Zionist Military industrial complex and they are well and truly occupied by Zionist JEWS just like US of AIPAC and they are nothing but treasonous traitors to the JEWS , here is proof ? if you take a look at UN votes the only ass holes country's are the US and Australia vetos for justice against the Palestinians.",1,train,"{
  ""text"": ""Australia supports the Zionist Military industrial complex and they are well and truly occupied by Zionist JEWS just like US of AIPAC and they are nothing but treasonous traitors to the JEWS , here is proof ? if you take a look at UN votes the only ass holes country's are the US and Australia vetos for justice against the Palestinians."",
  ""rationales"": [
    ""Zionist Military industrial complex"",
    ""Zionist JEWS"",
    ""US of AIPAC"",
    ""treasonous traitors"",
    ""UN votes"",
    ""ass holes country's"",
    ""justice against the Palestinians""
  ],
  ""derogatory_language"": [
    ""Zionist"",
    ""JEWS"",
    ""ass holes""
  ],
  ""cuss_words"": []
}"
39,"Woody Harrelson said it perfectly in ""White Men Can't Jump"", when comparing the differences in competitive philosophy between white and black athletes. He told Wesley Snipes that black players would rather lose as long as the look cool doing it. That's what you see here.",0,train,"{
  ""text"": ""Woody Harrelson said it perfectly in \""White Men Can't Jump\"", when comparing the differences in competitive philosophy between white and black athletes. He told Wesley Snipes that black players would rather lose as long as the look cool doing it. That's what you see here."",
  ""rationales"": [],
  ""derogatory_language"": [
    ""black""
  ],
  ""cuss_words"": []
}"
40,SHOT ALL ILLEGALS THEN USE CATAPULTS TO SEND THEM HOME TO MEXICO,1,train,"{
  ""text"": ""SHOT ALL ILLEGALS THEN USE CATAPULTS TO SEND THEM HOME TO MEXICO"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""illegals"",
    ""Mexico""
  ],
  ""cuss_words"": [
    ""SHOT""
  ]
}"
41,At least he's not gay,0,train,"{
  ""text"": ""At least he's not gay"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
42,How can people celebrate cinco de mayo when the spaniards murdered the Aztecs and stole their land and defeated the French who tried to steal it from the spaniards. Mexicans have no rights to the land!!!,1,train,"{
  ""text"": ""How can people celebrate cinco de mayo when the spaniards murdered the Aztecs and stole their land and defeated the French who tried to steal it from the spaniards. Mexicans have no rights to the land!!!"",
  ""rationales"": [
    ""spaniards murdered the Aztecs"",
    ""stole their land"",
    ""defeated the French"",
    ""tried to steal it from the spaniards"",
    ""Mexicans have no rights to the land""
  ],
  ""derogatory_language"": [
    ""Mexicans""
  ],
  ""cuss_words"": []
}"
43,islam is filth,1,train,"{
  ""text"": ""islam is filth"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""filth""
  ]
}"
44,Wonderful Fabulous News!!! Gay Marriage Pride dears!,0,train,"{
  ""text"": ""Wonderful Fabulous News!!! Gay Marriage Pride dears!"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
45,Muslim bullshit speak: 4 terrorist murderers = 4 Palestinian victims.  This is the most audacious and pathetic case do disinformation I've ever experienced in my life.  Shame on you.,1,train,"{
  ""text"": ""Muslim bullshit speak: 4 terrorist murderers = 4 Palestinian victims. This is the most audacious and pathetic case do disinformation I've ever experienced in my life. Shame on you."",
  ""rationales"": [
    ""Palestinian victims""
  ],
  ""derogatory_language"": [
    ""Muslim""
  ],
  ""cuss_words"": [
    ""bullshit"",
    ""audacious"",
    ""pathetic"",
    ""disinformation"",
    ""Shame on you""
  ]
}"
46,"Good for the black lady. I hate muslims, hope they get exterminated.",1,train,"{
  ""text"": ""Good for the black lady. I hate muslims, hope they get exterminated."",
  ""rationales"": [
    ""black lady""
  ],
  ""derogatory_language"": [
    ""muslims""
  ],
  ""cuss_words"": []
}"
47,Pope authority comes from Jesus and being the successor of St. Peter,0,train,"{
  ""text"": ""Pope authority comes from Jesus and being the successor of St. Peter"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
48,Know how about execute everybody that goes against the most High's laws not the right wing not the left but the most High's laws we are forgetting about him and all of this and the 14th amendment applies to black people descendants from slaves not know God damn Latinos let's stop playing games with that one,0,train,"{
  ""text"": ""Know how about execute everybody that goes against the most High's laws not the right wing not the left but the most High's laws we are forgetting about him and all of this and the 14th amendment applies to black people descendants from slaves not know God damn Latinos let's stop playing games with that one"",
  ""rationales"": [
    ""execute everybody"",
    ""the most High's laws"",
    ""the 14th amendment"",
    ""black people descendants from slaves"",
    ""Latinos""
  ],
  ""derogatory_language"": [
    ""God damn"",
    ""Latinos""
  ],
  ""cuss_words"": [
    ""God damn""
  ]
}"
49,The second woman she is a stupid homophobic bitch I fucking hate her I'm bi and I'm a kid fuck her,0,train,"{
  ""text"": ""The second woman she is a stupid homophobic bitch I fucking hate her I'm bi and I'm a kid fuck her"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""stupid"",
    ""homophobic"",
    ""bitch""
  ],
  ""cuss_words"": [
    ""fuck""
  ]
}"
50,"0:54 yes, i am sick of it too.  Who says woman should have class and dignity.  You all should be free to whore it up and be seen as pieces of meat.",1,train,"{
  ""text"": ""0:54 yes, i am sick of it too. Who says woman should have class and dignity. You all should be free to whore it up and be seen as pieces of meat."",
  ""rationales"": [],
  ""derogatory_language"": [
    ""whore"",
    ""pieces of meat""
  ],
  ""cuss_words"": []
}"
51,"So, Alladin has a mostly Arab cast. Mulan, from this, has a mostly Asian cast. Yet Ariel, a Danish created character, is black. Why couldn't Mulan be a trans man?",0,train,"{
  ""text"": ""So, Alladin has a mostly Arab cast. Mulan, from this, has a mostly Asian cast. Yet Ariel, a Danish created character, is black. Why couldn't Mulan be a trans man?"",
  ""rationales"": [
    ""Alladin has a mostly Arab cast"",
    ""Mulan has a mostly Asian cast"",
    ""Ariel, a Danish created character, is black"",
    ""Mulan be a trans man""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
52,I hate stupid white Christians there some evil as mother fuckers they kill and they made Jesus white even tho he's black,1,train,"{
  ""text"": ""I hate stupid white Christians there some evil as mother fuckers they kill and they made Jesus white even tho he's black"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""stupid"",
    ""white"",
    ""Christians"",
    ""evil"",
    ""mother fuckers"",
    ""kill"",
    ""made"",
    ""Jesus"",
    ""white"",
    ""black""
  ],
  ""cuss_words"": [
    ""mother fuckers""
  ]
}"
53,"The only reward of those who make war upon Allah and His messenger and strive after corruption in the land will be that they will be killed or crucified, or have their hands and feet on alternate sides cut off, or will be expelled out of the land. Such will be their degradation in the world, and in the Hereafter theirs will be an awful doom.-Quran 5:33",0,train,"{
  ""text"": ""The only reward of those who make war upon Allah and His messenger and strive after corruption in the land will be that they will be killed or crucified, or have their hands and feet on alternate sides cut off, or will be expelled out of the land. Such will be their degradation in the world, and in the Hereafter theirs will be an awful doom.-Quran 5:33"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
54,Mohammed was a pervert he fucked a young girl..dirty fucking paedophile..i hope he is being butt fucked in hell by hitler...lets all celebrate by burning a Koran,1,train,"{
  ""text"": ""Mohammed was a pervert he fucked a young girl..dirty fucking paedophile..i hope he is being butt fucked in hell by hitler...lets all celebrate by burning a Koran"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""pervert"",
    ""fucked"",
    ""dirty"",
    ""fucking"",
    ""paedophile"",
    ""butt fucked"",
    ""hell"",
    ""hitler"",
    ""burning"",
    ""Koran""
  ],
  ""cuss_words"": [
    ""fucked"",
    ""fucking"",
    ""butt fucked""
  ]
}"
55,buy him a home and give him a job. He's Muslim and deserves it.,0,train,"{
  ""text"": ""buy him a home and give him a job. He's Muslim and deserves it."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
56,there like rats,1,train,"{
  ""text"": ""there like rats"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""rats""
  ]
}"
57,Public lands belong to the people. Greedy corporations can fuck off.,1,train,"{
  ""text"": ""Public lands belong to the people. Greedy corporations can fuck off."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fuck""
  ]
}"
58,who gives a shit what happens to the greasy bastards once their deported?  Get those goddamn mexicans out!,1,train,"{
  ""text"": ""who gives a shit what happens to the greasy bastards once their deported? Get those goddamn mexicans out!"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""greasy bastards"",
    ""mexicans""
  ],
  ""cuss_words"": [
    ""shit"",
    ""goddamn""
  ]
}"
59,I actually agree with Skip,0,train,"{
  ""text"": ""I actually agree with Skip"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
60,Its funny how this dumb n$%2r thinks this is gta san andreas where he can just run from cops and not get wasted,1,train,"{
  ""text"": ""Its funny how this dumb n$%2r thinks this is gta san andreas where he can just run from cops and not get wasted"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""n$%2r""
  ]
}"
61,Immigrants Scum from the middle east has turn my Clean European City in a Baghdad Ghetto Slum.. Thanks Germany.. :( Keep Fighting my EU Brothers and Sister against invasion of these parasite freeloaders.. We Support you..!! No more Refugees!!,1,train,"{
  ""text"": ""Immigrants Scum from the middle east has turn my Clean European City in a Baghdad Ghetto Slum.. Thanks Germany.. :( Keep Fighting my EU Brothers and Sister against invasion of these parasite freeloaders.. We Support you..!! No more Refugees!!"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""Scum"",
    ""parasite"",
    ""freeloaders""
  ],
  ""cuss_words"": []
}"
62,"Gautam Gambhir of all !!! Lol. Come on !!! Elections in India are conducted and controlled by US and UK. Both INC and BJP are their puppets. Get ready to pay bribes as usual for them to take turns every 10 years to fool and loot you. Ah well lol Sunny Deol too this time, Sunny Leone next.",0,train,"{
  ""text"": ""Gautam Gambhir of all !!! Lol. Come on !!! Elections in India are conducted and controlled by US and UK. Both INC and BJP are their puppets. Get ready to pay bribes as usual for them to take turns every 10 years to fool and loot you. Ah well lol Sunny Deol too this time, Sunny Leone next."",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""lol""
  ]
}"
63,Islam is not a race you dumb mother fuckers. You have a choice to believe the bullshit of islam. You are not born muslim. Islamophobia is a fake word and islam is a sick perverse political ideology. Open to criticism and rejection like any other. The motherload of bad ideas. May the slave state of qatar and saudi arabia be turned to irradiated glass. The sooner the better.,1,train,"{
  ""text"": ""Islam is not a race you dumb mother fuckers. You have a choice to believe the bullshit of islam. You are not born muslim. Islamophobia is a fake word and islam is a sick perverse political ideology. Open to criticism and rejection like any other. The motherload of bad ideas. May the slave state of qatar and saudi arabia be turned to irradiated glass. The sooner the better."",
  ""rationales"": [],
  ""derogatory_language"": [
    ""dumb"",
    ""mother fuckers"",
    ""slave"",
    ""sick"",
    ""perverse"",
    ""bad""
  ],
  ""cuss_words"": [
    ""mother fuckers""
  ]
}"
64,"I guess he does not care about God since he did NOT swear on the Bible that he ""walked"" on the moooon LOL",0,train,"{
  ""text"": ""I guess he does not care about God since he did NOT swear on the Bible that he \""walked\"" on the moooon LOL"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
65,"We do not need Islam in any way or fashion. Islam should be banned. Dearborn is lost. America will fall soon. Obummer has succeeded in advancing the absolute foul teachings and culture of Islam. Other cultures are interesting because they know respect and tolerance. Not Islam, though. Islam has killed more people than any other war or group in the history of the world. 290 million and counting! The total for this year's ramadan was over 1600 in a month!
Islam sucks. Any one who practices the teachings of the dwarf Mohammed do so because a lack of intelligence brought on too many incestuous relations in the bloodline.",1,train,"{
  ""text"": ""We do not need Islam in any way or fashion. Islam should be banned. Dearborn is lost. America will fall soon. Obummer has succeeded in advancing the absolute foul teachings and culture of Islam. Other cultures are interesting because they know respect and tolerance. Not Islam, though. Islam has killed more people than any other war or group in the history of the world. 290 million and counting! The total for this year's ramadan was over 1600 in a month!\nIslam sucks. Any one who practices the teachings of the dwarf Mohammed do so because a lack of intelligence brought on too many incestuous relations in the bloodline."",
  ""rationales"": [
    ""Dearborn is lost"",
    ""America will fall soon"",
    ""Obummer has succeeded in advancing the absolute foul teachings and culture of Islam"",
    ""Islam has killed more people than any other war or group in the history of the world"",
    ""290 million and counting"",
    ""The total for this year's ramadan was over 1600 in a month""
  ],
  ""derogatory_language"": [
    ""Islam"",
    ""Obummer"",
    ""dwarf Mohammed""
  ],
  ""cuss_words"": [
    ""sucks""
  ]
}"
66,I believe what makes a women beautiful is her belief in herself in every way. Has self confidence and a strength over and above board. Loves helping and giving from the goodness of her heart. That's a very beautiful women!😊,0,train,"{
  ""text"": ""I believe what makes a women beautiful is her belief in herself in every way. Has self confidence and a strength over and above board. Loves helping and giving from the goodness of her heart. That's a very beautiful women!😊"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
67,Islam is the plague,1,train,"{
  ""text"": ""Islam is the plague"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""Islam""
  ],
  ""cuss_words"": []
}"
68,"1. Declare martial law 
2. Let the army handle this scum",1,train,"{
  ""text"": ""1. Declare martial law\n2. Let the army handle this scum"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""scum""
  ],
  ""cuss_words"": []
}"
69,what the fuck is there to investigate put this bitch ass nigga in jail,1,train,"{
  ""text"": ""what the fuck is there to investigate put this bitch ass nigga in jail"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitch ass nigga""
  ],
  ""cuss_words"": [
    ""fuck""
  ]
}"
70,Sounds like a white person committing crimes period.,0,train,"{
  ""text"": ""Sounds like a white person committing crimes period."",
  ""rationales"": [
    ""white person committing crimes""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
71,I'm back off the Border Patrol they're doing what they're supposed to be doing if that they want to come here let them do it legally Legally Legally Legally get the picture.!! You all just want illegal votes that's all you want,0,train,"{
  ""text"": ""I'm back off the Border Patrol they're doing what they're supposed to be doing if that they want to come here let them do it legally Legally Legally Legally get the picture.!! You all just want illegal votes that's all you want"",
  ""rationales"": [
    ""Border Patrol"",
    ""illegal votes""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
72,That is one ugly woman,0,train,"{
  ""text"": ""That is one ugly woman"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ugly woman""
  ],
  ""cuss_words"": []
}"
