text,label,exp_split,ChatGPT Response
i wish the holocaust actually killed <number> million jews that would have been awesome,1,train,"{
  ""text"": ""i wish the holocaust actually killed <number> million jews that would have been awesome"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
taking down these knotless braids ghetto ass fuck i quit 😂,1,train,"{
  ""text"": ""taking down these knotless braids ghetto ass fuck i quit 😂"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ghetto""
  ],
  ""cuss_words"": [
    ""fuck""
  ]
}"
leadyourway safety at work and conducive working environment is a must for all women,0,train,"{
  ""text"": ""leadyourway safety at work and conducive working environment is a must for all women"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [],
  ""non_hateful"": true
}"
<user> <user> tell that to trayvon or any other dumb nigger that got shot beating ontop of a cop theres more bodycam footage to disprove your theory than your brain could comprehend,1,train,"{
  ""text"": ""<user> <user> tell that to trayvon or any other dumb nigger that got shot beating ontop of a cop theres more bodycam footage to disprove your theory than your brain could comprehend"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""nigger""
  ],
  ""cuss_words"": [
    ""dumb""
  ]
}"
boo sorry did i scare you wassup gurl 😉 😉 😊 its cocktober 😈 🌚 🍂 🍃 🍁 and if you 👈 🏽 are getting this 👇 🏽 😘 it means ur a halloween 👻 🎃 hoe 😏 😩 👅 💦 every year in cocktober the jack o slut 🎃 comes to life 🙀 😻 🙌 🏽 👏 👏 🙌 🏽 coming to harvest 🍁 🍂 🍃 his hoes for thot -o- ween 😏 😏 💥,1,train,"{
  ""text"": ""boo sorry did i scare you wassup gurl 😉 😉 😊 its cocktober 😈 🌚 🍂 🍃 🍁 and if you 👈 🏽 are getting this 👇 🏽 😘 it means ur a halloween 👻 🎃 hoe 😏 😩 👅 💦 every year in cocktober the jack o slut 🎃 comes to life 🙀 😻 🙌 🏽 👏 👏 🙌 🏽 coming to harvest 🍁 🍂 🍃 his hoes for thot -o- ween 😏 😏 💥"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""cock"",
    ""hoe"",
    ""thot""
  ]
}"
u niggas are broke and use women instead of getting therapists and dealing with your mommy issues 🤢 🤢 🤢,0,train,"{
  ""text"": ""u niggas are broke and use women instead of getting therapists and dealing with your mommy issues 🤢 🤢 🤢"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""niggas""
  ],
  ""cuss_words"": [
    ""broke""
  ]
}"
must thought i was pussy why you playin wit these bitches,1,train,"{
  ""text"": ""must thought i was pussy why you playin wit these bitches"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""pussy"",
    ""bitches""
  ],
  ""cuss_words"": [
    ""pussy"",
    ""bitches""
  ]
}"
<user> <user> nah nazis are evil,0,train,"{
  ""text"": ""<user> <user> nah nazis are evil"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> you will find that most women are looked down upon as people believe women cannot be good leaders umimspresident,0,train,"{
  ""text"": ""<user> you will find that most women are looked down upon as people believe women cannot be good leaders umimspresident"",
  ""rationales"": [
    ""most women are looked down upon"",
    ""people believe women cannot be good leaders""
  ],
  ""derogatory_language"": [
    ""women""
  ],
  ""cuss_words"": []
}"
<user> i think they shoulda left the palestine vs yemen outta their stupidness end of the day both them and the many muzzie countries need our attention so disgusting they made them seem like opposing ends,1,train,"{
  ""text"": ""<user> i think they shoulda left the palestine vs yemen outta their stupidness end of the day both them and the many muzzie countries need our attention so disgusting they made them seem like opposing ends"",
  ""rationales"": [
    ""palestine vs yemen"",
    ""muzzie countries""
  ],
  ""derogatory_language"": [
    ""muzzie""
  ],
  ""cuss_words"": []
}"
worship the almighty foot faggot worship master oz86 skype,1,train,"{
  ""text"": ""worship the almighty foot faggot worship master oz86 skype"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""faggot""
  ],
  ""cuss_words"": [
    ""faggot""
  ]
}"
<user> <user> the drunk trailer trash girl would not be able to survive question time,1,train,"{
  ""text"": ""<user> <user> the drunk trailer trash girl would not be able to survive question time"",
  ""rationales"": [
    ""drunk trailer trash girl""
  ],
  ""derogatory_language"": [
    ""drunk"",
    ""trailer trash""
  ],
  ""cuss_words"": []
}"
<user> your hate will harm indian muslims more your hinduphobia will leads to harm indian muslims more so stop this hate,0,train,"{
  ""text"": ""<user> your hate will harm indian muslims more your hinduphobia will leads to harm indian muslims more so stop this hate"",
  ""rationales"": [
    ""indian muslims""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> like i have been saying for awhile now that soon the left ideology will lock horns with the islamic one total shit show,1,train,"{
  ""text"": ""<user> like i have been saying for awhile now that soon the left ideology will lock horns with the islamic one total shit show"",
  ""rationales"": [
    ""left ideology"",
    ""islamic one""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""shit""
  ]
}"
<user> well like they are lesbians for a reason lmao,0,train,"{
  ""text"": ""<user> well like they are lesbians for a reason lmao"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> is that person dumb are asians not poc omg,1,train,"{
  ""text"": ""<user> is that person dumb are asians not poc omg"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
whoever stole my phone at <user> last night is a fucking bum ass bitch,1,train,"{
  ""text"": ""whoever stole my phone at <user> last night is a fucking bum ass bitch"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""fucking"",
    ""bum"",
    ""ass"",
    ""bitch""
  ]
}"
man i hate niggers,1,train,"{
  ""text"": ""man i hate niggers"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""niggers""
  ],
  ""cuss_words"": []
}"
the bi lesbian movement was definitely started by some bitch who was upset she couldn ’ t say dyke,0,train,"{
  ""text"": ""the bi lesbian movement was definitely started by some bitch who was upset she couldn’t say dyke"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitch"",
    ""dyke""
  ],
  ""cuss_words"": [
    ""bitch""
  ]
}"
converts are real jews n theres nothing u can do about it,1,train,"{
  ""text"": ""converts are real jews n theres nothing u can do about it"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
hts has stormed the islamic court in ariha thus entering ariha,0,train,"{
  ""text"": ""hts has stormed the islamic court in ariha thus entering ariha"",
  ""rationales"": [
    ""hts"",
    ""islamic court""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
f*ck <censored> white gays and f*ck <censored> their smelly loose cyst infested assholes they are the epitome of hypocrisy the pinnacle of being a musty thieves that perpetuate stereotypes on the queer community of color but love to adopt mannerisms when it in their convenience,1,train,"{
  ""text"": ""f*ck <censored> white gays and f*ck <censored> their smelly loose cyst infested assholes they are the epitome of hypocrisy the pinnacle of being a musty thieves that perpetuate stereotypes on the queer community of color but love to adopt mannerisms when it in their convenience"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white"",
    ""gays"",
    ""smelly"",
    ""loose"",
    ""cyst"",
    ""infested"",
    ""assholes"",
    ""hypocrisy"",
    ""musty"",
    ""thieves"",
    ""perpetuate"",
    ""stereotypes"",
    ""queer"",
    ""community"",
    ""color"",
    ""adopt"",
    ""mannerisms"",
    ""convenience""
  ],
  ""cuss_words"": [
    ""f*ck""
  ]
}"
anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,1,train,"{
  ""text"": ""anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""dyke""
  ],
  ""cuss_words"": []
}"
woke up to ncr propaganda spray painted onto my trailer this means war kimball you gay faggot,1,train,"{
  ""text"": ""woke up to ncr propaganda spray painted onto my trailer this means war kimball you gay faggot"",
  ""rationales"": [
    ""ncr propaganda"",
    ""war"",
    ""kimball""
  ],
  ""derogatory_language"": [
    ""gay"",
    ""faggot""
  ],
  ""cuss_words"": []
}"
drag and drop these groupie bitches in da trash bin,1,train,"{
  ""text"": ""drag and drop these groupie bitches in da trash bin"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""groupie bitches""
  ],
  ""cuss_words"": []
}"
i miss u negro <user>,1,train,"{
  ""text"": ""i miss u negro <user>"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""negro""
  ]
}"
<user> omg we ’ re so gay,0,train,"{
  ""text"": ""<user> omg we ’ re so gay"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
that yeboah chick does the most to prove shes street and ghetto like relax sisterin dear,1,train,"{
  ""text"": ""that yeboah chick does the most to prove shes street and ghetto like relax sisterin dear"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""chick"",
    ""ghetto""
  ],
  ""cuss_words"": []
}"
<user> if you are then i am too she is a hood rat trailer trash person anyone who thinks she is not is also a hood rat trailer trash person michelle is no racist,1,train,"{
  ""text"": ""<user> if you are then i am too she is a hood rat trailer trash person anyone who thinks she is not is also a hood rat trailer trash person michelle is no racist"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""hood rat"",
    ""trailer trash""
  ],
  ""cuss_words"": []
}"
i hate you cringy ass white people,1,train,"{
  ""text"": ""i hate you cringy ass white people"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white people""
  ],
  ""cuss_words"": []
}"
bitches be just as messy ass these faggot ass niggas,1,train,"{
  ""text"": ""bitches be just as messy ass these faggot ass niggas"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitches"",
    ""faggot"",
    ""niggas""
  ],
  ""cuss_words"": [
    ""ass""
  ]
}"
you are a skinhead you bitch no dad it leukemia leuk what stop speaking german you fucking nazi,1,train,"{
  ""text"": ""you are a skinhead you bitch no dad it leukemia leuk what stop speaking german you fucking nazi"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""skinhead"",
    ""bitch"",
    ""leukemia"",
    ""leuk"",
    ""german"",
    ""nazi""
  ],
  ""cuss_words"": [
    ""bitch"",
    ""fucking""
  ]
}"
<user> ramadan kareem to all the muslim fans,0,train,"{
  ""text"": ""<user> ramadan kareem to all the muslim fans"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
lol tariq deserved that whooping that bitch nigger,1,train,"{
  ""text"": ""lol tariq deserved that whooping that bitch nigger"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitch"",
    ""nigger""
  ],
  ""cuss_words"": [
    ""bitch"",
    ""nigger""
  ]
}"
<user> so ppl do not go to church bc i said wearing blue jeans were ghetto not because your great aunt billie mae asked your dyke ass to wear a dress or to stop holding your boyfriend hand on the first pew bc of jeans akskksk i am tired,1,train,"{
  ""text"": ""<user> so ppl do not go to church bc i said wearing blue jeans were ghetto not because your great aunt billie mae asked your dyke ass to wear a dress or to stop holding your boyfriend hand on the first pew bc of jeans akskksk i am tired"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ghetto"",
    ""dyke"",
    ""boyfriend""
  ],
  ""cuss_words"": [
    ""ass""
  ]
}"
<user> <user> you all faggots gunna top each other off now or what,1,train,"{
  ""text"": ""<user> <user> you all faggots gunna top each other off now or what"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""faggots""
  ],
  ""cuss_words"": []
}"
when you get m ’ niggas hate you the most,1,train,"{
  ""text"": ""when you get m ’ niggas hate you the most"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""niggas""
  ]
}"
i have played the wife role for dudes who only deserved a hoe that my fault tho,0,train,"{
  ""text"": ""i have played the wife role for dudes who only deserved a hoe that my fault tho"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""hoe""
  ],
  ""cuss_words"": []
}"
<user> mf really pinned that bitch,1,train,"{
  ""text"": ""<user> mf really pinned that bitch"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitch""
  ],
  ""cuss_words"": [
    ""mf""
  ]
}"
<user> nigger nigger nigger,1,train,"{
  ""text"": ""<user> nigger nigger nigger"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""nigger""
  ]
}"
<user> <user> israeli jews should unilaterally withdraw to being the <number> of the uae witout citizenship then arabs woulf be free,1,train,"{
  ""text"": ""<user> <user> israeli jews should unilaterally withdraw to being the <number> of the uae witout citizenship then arabs woulf be free"",
  ""rationales"": [
    ""israeli jews"",
    ""arabs""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
do you still have balls albert faggot bitch i am shocked this community has not dragged your carcass thru the streets,1,train,"{
  ""text"": ""do you still have balls albert faggot bitch i am shocked this community has not dragged your carcass thru the streets"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""faggot"",
    ""bitch""
  ],
  ""cuss_words"": [
    ""balls""
  ]
}"
<user> <user> i can lmao theater meets ghetto i will snap them in a second,0,train,"{
  ""text"": ""<user> <user> i can lmao theater meets ghetto i will snap them in a second"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""lmao""
  ]
}"
<user> we have a lot refugees we can share a little bit 😂,1,train,"{
  ""text"": ""<user> we have a lot refugees we can share a little bit 😂"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
recommend me good books about islam islam and women thank you,0,train,"{
  ""text"": ""recommend me good books about islam islam and women thank you"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> bernardo is just a white honky,1,train,"{
  ""text"": ""<user> bernardo is just a white honky"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white"",
    ""honky""
  ],
  ""cuss_words"": []
}"
<user> <user> yeah shiff shumer are jews leading this charade witch hunt,1,train,"{
  ""text"": ""<user> <user> yeah shiff shumer are jews leading this charade witch hunt"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""jews""
  ],
  ""cuss_words"": []
}"
<user> <user> it the jews not europeans stop shifting blame on gentiles,1,train,"{
  ""text"": ""<user> <user> it the jews not europeans stop shifting blame on gentiles"",
  ""rationales"": [
    ""jews"",
    ""europeans"",
    ""gentiles""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> wonder if they are up for flooding the country with jews instead of muslims bet they arent,1,train,"{
  ""text"": ""<user> wonder if they are up for flooding the country with jews instead of muslims bet they arent"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""jews"",
    ""muslims""
  ],
  ""cuss_words"": []
}"
throw some weave on dat bitch just bought a pack of yak,1,train,"{
  ""text"": ""throw some weave on dat bitch just bought a pack of yak"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""bitch""
  ],
  ""cuss_words"": [
    ""yak""
  ]
}"
lol we just watched an art thing and i said i loved the japanese artist and my dad said did ching chong chinaman draw it <happy> love that,1,train,"{
  ""text"": ""lol we just watched an art thing and i said i loved the japanese artist and my dad said did ching chong chinaman draw it <happy> love that"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ching chong chinaman""
  ],
  ""cuss_words"": []
}"
<user> bitch i hate your ass suddenly,0,train,"{
  ""text"": ""<user> bitch i hate your ass suddenly"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""bitch""
  ]
}"
top quotes from tonight include <user> saying they are a slytherin and proud because they are fucking queer 🐍 also gryffindor is so heteronormative and basic it for people who have the personality of bread and courage 🍞 🦁 bam ein publishing <user>,0,train,"{
  ""text"": ""top quotes from tonight include <user> saying they are a slytherin and proud because they are fucking queer 🐍 also gryffindor is so heteronormative and basic it for people who have the personality of bread and courage 🍞 🦁 bam ein publishing <user>"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""fucking"",
    ""queer"",
    ""heteronormative"",
    ""basic""
  ],
  ""cuss_words"": []
}"
i wanna be ghetto and buy some rims,1,train,"{
  ""text"": ""i wanna be ghetto and buy some rims"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""ghetto""
  ]
}"
<user> what about men raped by women who just want to be pregnant or does not that happen 🤔,0,train,"{
  ""text"": ""<user> what about men raped by women who just want to be pregnant or does not that happen 🤔"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
when a hoe wants to talk about morals 😂,1,train,"{
  ""text"": ""when a hoe wants to talk about morals 😂"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""hoe""
  ]
}"
<user> will a porch monkey banana suffice,1,train,"{
  ""text"": ""<user> will a porch monkey banana suffice"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""porch monkey""
  ],
  ""cuss_words"": []
}"
sandalphon not allowed to be in any hot attire that selfish bitch god,1,train,"{
  ""text"": ""sandalphon not allowed to be in any hot attire that selfish bitch god"",
  ""rationales"": [
    ""sandalphon"",
    ""selfish bitch god""
  ],
  ""derogatory_language"": [
    ""bitch""
  ],
  ""cuss_words"": []
}"
i be bathing in hunneds white bitch with a onion,1,train,"{
  ""text"": ""i be bathing in hunneds white bitch with a onion"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white bitch""
  ],
  ""cuss_words"": []
}"
thank god islam has made circumcision obligatory have you seen uncircumcised dicks they are the most ugly looking things 😷,1,train,"{
  ""text"": ""thank god islam has made circumcision obligatory have you seen uncircumcised dicks they are the most ugly looking things 😷"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""dicks""
  ]
}"
i will never ever understand queer people who gatekeep others and conflate sexuality with morality or immorality,1,train,"{
  ""text"": ""i will never ever understand queer people who gatekeep others and conflate sexuality with morality or immorality"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
you hoes ain t wassup nomo,1,train,"{
  ""text"": ""you hoes ain t wassup nomo"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""hoes""
  ],
  ""cuss_words"": [
    ""ain t""
  ]
}"
nobody will love you harder than a pisces girl u just gotta deal with her being fucking retarded,1,train,"{
  ""text"": ""nobody will love you harder than a pisces girl u just gotta deal with her being fucking retarded"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""retarded""
  ]
}"
i can ’ t wait to be in a relationship that makes people constantly think to themselves “ why tf she with that ugly ass nigga ”,1,train,"{
  ""text"": ""i can ’ t wait to be in a relationship that makes people constantly think to themselves “ why tf she with that ugly ass nigga ”"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""ugly ass nigga""
  ],
  ""cuss_words"": [
    ""tf""
  ]
}"
<user> i do not understand what bad about saying that kids with towels around their heads like turbans look like people who wear turbans is it just bad cause racist assholes use the word towelhead to talk about people wearing turbans,1,train,"{
  ""text"": ""<user> i do not understand what bad about saying that kids with towels around their heads like turbans look like people who wear turbans is it just bad cause racist assholes use the word towelhead to talk about people wearing turbans"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> normalize hating white people,1,train,"{
  ""text"": ""<user> normalize hating white people"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white people""
  ],
  ""cuss_words"": []
}"
<user> like someone will say nigga to be cool bc it in song but they do not fuck w black ppl you piss them off and they are calling you a nigger it not the same,0,train,"{
  ""text"": ""<user> like someone will say nigga to be cool bc it in song but they do not fuck w black ppl you piss them off and they are calling you a nigger it not the same"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""nigga"",
    ""nigger""
  ],
  ""cuss_words"": []
}"
white bitches be like blm did i tell you all black lives matter like we get it bitch you are not racist 💀,1,train,"{
  ""text"": ""white bitches be like blm did i tell you all black lives matter like we get it bitch you are not racist 💀"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""white bitches"",
    ""bitch""
  ],
  ""cuss_words"": [
    ""bitch""
  ]
}"
ok so i was eating my lollipop and this nigger barto called me gay for this,1,train,"{
  ""text"": ""ok so i was eating my lollipop and this nigger barto called me gay for this"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""nigger""
  ],
  ""cuss_words"": []
}"
you niggers need to calm down,1,train,"{
  ""text"": ""you niggers need to calm down"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""niggers""
  ],
  ""cuss_words"": []
}"
it was then that gay retard world revealed itself to me,1,train,"{
  ""text"": ""it was then that gay retard world revealed itself to me"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""gay"",
    ""retard""
  ],
  ""cuss_words"": []
}"
<user> i ’ m pretty sure that black dude said punch nazis not punch every single white advocate ever,0,train,"{
  ""text"": ""<user> i ’ m pretty sure that black dude said punch nazis not punch every single white advocate ever"",
  ""rationales"": [
    ""black dude"",
    ""white advocate""
  ],
  ""derogatory_language"": [
    ""black"",
    ""white""
  ],
  ""cuss_words"": []
}"
to all my muslim moots mute me just in case,1,train,"{
  ""text"": ""to all my muslim moots mute me just in case"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
<user> if you voted labour you would ’ ve voted for the uks kids to be raped and county lined by islam tho,1,train,"{
  ""text"": ""<user> if you voted labour you would ’ ve voted for the uks kids to be raped and county lined by islam tho"",
  ""rationales"": [
    ""voted labour"",
    ""uks kids"",
    ""raped"",
    ""county lined"",
    ""islam""
  ],
  ""derogatory_language"": [
    ""islam""
  ],
  ""cuss_words"": []
}"
<user> <user> if saying nigger to someone makes them respond violently that person has no place in society violent animals belong in cages when is the last time you heard kike or faggot or any other slur as the basis for violence words are just words sticks and stones etc,1,train,"{
  ""text"": ""<user> <user> if saying nigger to someone makes them respond violently that person has no place in society violent animals belong in cages when is the last time you heard kike or faggot or any other slur as the basis for violence words are just words sticks and stones etc"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""nigger"",
    ""kike"",
    ""faggot""
  ],
  ""cuss_words"": []
}"
<user> can you imagine the media and public outrage if that had instead been some white trailer trash harassing people going to a pride parade or to a climate change strike i guess the alt left only believes in diversity and tolerance when it comes to their causes,1,train,"{
  ""text"": ""<user> can you imagine the media and public outrage if that had instead been some white trailer trash harassing people going to a pride parade or to a climate change strike i guess the alt left only believes in diversity and tolerance when it comes to their causes"",
  ""rationales"": [
    ""white trailer trash"",
    ""pride parade"",
    ""climate change strike"",
    ""alt left""
  ],
  ""derogatory_language"": [
    ""white trailer trash"",
    ""alt left""
  ],
  ""cuss_words"": []
}"
our very own kuch bhi retard prakash raj 🖕 leftists_are_terrorists islamicterrorism,1,train,"{
  ""text"": ""our very own kuch bhi retard prakash raj 🖕 leftists_are_terrorists islamicterrorism"",
  ""rationales"": [],
  ""derogatory_language"": [
    ""retard"",
    ""leftists_are_terrorists"",
    ""islamicterrorism""
  ],
  ""cuss_words"": [
    ""🖕""
  ]
}"
only america would shut down the whole ass government over a fucking wall you all president retarded,1,train,"{
  ""text"": ""only america would shut down the whole ass government over a fucking wall you all president retarded"",
  ""rationales"": [],
  ""derogatory_language"": [],
  ""cuss_words"": [
    ""ass"",
    ""fucking"",
    ""retarded""
  ]
}"
<user> can i share your tweet with the uyghur muslim brothers in china or with brothers from the ahmeddiya community,1,train,"{
  ""text"": ""<user> can i share your tweet with the uyghur muslim brothers in china or with brothers from the ahmeddiya community"",
  ""rationales"": [
    ""uyghur muslim brothers in china"",
    ""brothers from the ahmeddiya community""
  ],
  ""derogatory_language"": [],
  ""cuss_words"": []
}"
