text,label,exp_split
changed my approach no more loving these hoes,1,train
niggas really be tryna keep yu around just to be on some bullshit raggedy bitches,1,train
do you ever get irritated that the people you voted for to represent you decide to represent illegal aliens over you,1,train
mm o no hollywood ever niggers treater,1,train
<user> oh my the niggers gonna be pissed,1,train
bitches love attention,1,train
<user> people think it ’ ok to go after jews now and that could get out of hand really fast,0,train
<user> france in <number> after muslims take over,0,train
<user> <number> bank islam,0,train
<user> agree with ananya baby every hindu muslim sikh isai should travel in economy class sonam kapoor,1,train
<user> raped the lil boy and he got sick gave the lil niggas aids smh 😭,1,train
staycommittedmrpm all muslim world is watching to pakistan and imran khan,0,train
does anyone else remember when that weird white trash wannabe gangster furry got banned for threatening baby furs with videos of his guns and money and drugs,1,train
get out of my face faggot,1,train
<user> he is infected with jihadi virus he will spread it to others,1,train
<user> wonder if her housekeeper is an illegal immigrant,0,train
darkskin women niggas ugly bald headed black as asf bad attitude ghetto,1,train
i do not like being on the phone with anyone and them telling me i am wrong lmao like i am pissed 😩 😩 i hate faggot ass mf bro on god,0,train
you are a be rollin margiela fuckin this nigger slammin,0,train
<user> yuel and societte might slightly edge them out and of course vira and kat but yeah very gay,0,train
<user> <number> bank islam,0,train
wishing for a white wignat christmas 🎄,1,train
coming with the it named after the river niger and how d that river get that name 🧐 riddle me that nigger,1,train
<user> the fetishizing lesbians joke yuck,1,train
<user> ngl exactly how i feel when niggas talk bout jews,0,train
<user> i d rather people lived amongst immigrants than cunts like you is that plain enough english for you,1,train
<user> hey beautiful we in the uk stand with you we love our muslim brothers we love you too,0,train
<user> are u going to be muslim d,0,train
<user> supporting terrorists wont get you anywhere so stop playing victim muzzie game,1,train
<user> going ✈ ️ to be a massive homo,1,train
<user> safe and affordable killing of helpless babies just what a muslim wants one less infidel to kill or convert,1,train
hold on waterparks gon have yung pinch for an opener a win for the niggers,1,train
all that superfied ghetto hoe shit ain ’ t the wave truly,1,train
<user> unwanted house visitor been calling illegal aliens undocumented immigrants too long euphemisms are a slippery slope,0,train
bitches be like i got <number> kids kaden jaden brayden zayden well damn bitch okayden 😭,1,train
<user> if you had sex you would not be complaining about being gay,1,train
<user> <user> they need to have their own movement separated from lesbian and gay movements cuz they ’ re really not the same,1,train
noir is so good you gays,1,train
<user> i just do not think you know how the justice system works is this a white person thing,0,train
<user> once we cut down the amount of illegal aliens coming in we can spend that money on americans,1,train
<user> imagine being a muslim and also putting pronouns in your fucking bio,1,train
i literally just watched all <number> seasons of queer eye queereye,0,train
lindelof is such a poof i can not believe his defending what a fucking bitch,1,train
cause you same hoes be the one selling every hole on your body down to your nose ears so you lil bitches can nize it,1,train
<user> thank god no more of that chinaman and protea favourite tabraiz shamsi,1,train
this the toughest bitch in the world bruh hey how so retarded,0,train
<user> protecting illegal aliens and not men and women in blue 😡 😡,0,train
gama3a aslun homosexuals should get murdered begad ya3ne yaaaa3 ezay keda uf bakarahom,1,train
<user> you do not speak for women,0,train
she know a nigga be stuntin like a power ranger 💫,0,train
<user> cloud is a faggot,1,train
so apparently a human heart is worth <number> all you hoes who broke mine pay up i will accept all payments through cash app or venmo,0,train
<user> <user> fire every employee that walks out and replace them with newly sworn in legal immigrants,0,train
<user> i will show you the crimes of jews for being kicked out of <number> countries after work,1,train
ur mom gay,1,train
i can ’ t believe how many white people are in the business of using mlk as the model protestor when he was murdered by a white supremacist,0,train
bitches act like a nigga do not got feelings,1,train
u can rent a hoe but u can not buy a bitch,1,train
<user> <user> maybe for the future you could post any queer couples if you want,0,train
i swear to god i wanna get raped in the most degrading and humiliating way ever i wanna cry real fear tears معصيتي راحتي,1,train
<user> dear your worries are not even relevant by the way why only muslims and seasonal hindus are worried,0,train
i called my old bitch and asked her can i come over she said it past <number> zay ain t shit open,1,train
omg unchanged again bielsa your a cunt eddie 😭 😭,1,train
<user> <user> maybe they should not support racist homophobic islamophobic 🐷 🐷,0,train
beyoncé should cater to her white audience on her next album period yall negros are ungrateful and hateful af so fuck them period <user>,0,train
<user> but you ’ re ok with palestinians killing their own people very nazi of u,1,train
gay people tweeting about got just look like they ’ re ready to party and play,0,train
perrie really loves asians uno,0,train
why are men actually retarded,1,train
you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes,1,train
<user> <user> <user> they d probably say it tends toward redneck new zealander but the sentiment is the same,1,train
i need one nigga to test my sexual limits w ya kno im a youngin 🤷 🏽 ‍ ♂ ️,1,train
white people complain about homophobia in the middle east just to fuel their islamophobia they literally don ’ t give a shit about gay arabs,1,train
<user> <user> you are gay,0,train
<user> <user> <user> <user> <user> congrats to blues i can appreciate their fans not complete faggots like calgary,1,train
the white devil knows no meaning of the word chil 🤣 🤣 🤣 🤣,1,train
at st marys and they hookin me up fa free fuck all the faggots who try to put me down because they do not understand real pain and struggles nick orzel,1,train
“ i don ’ t have to respect women i ’ m gay ” kevin,1,train
danai gurira the world does not revolve around the u.s. ados folks how dare she these black immigrants hate us,1,train
<user> <user> <user> all those illegal aliens 🤦 🏻 ‍ ♂️,1,train
<user> erdagon will take care of that he will replace them with arabs,1,train
just let me play cube world you fucking faggot,1,train
bisexuals lesbians 🤝 <number> being our year,0,train
<user> ghetto it ’ the fuck ghetto lol,1,train
<user> rehne do she is mentally retarded,1,train
everytime muslims are victims and when you see all they will be going against muslims why islamophobiaisholocaustic,1,train
<user> <user> so it not okay to be white,0,train
crazy to be in a position where women get mad at you for not being a typical asshole,1,train
<user> marrying a white devil just did not change your color and you will still be black when she divorces 🤷 🏽 ‍ ♀️,1,train
yall niggers are a disappointment,1,train
<user> ur cat knows ur gay that why he did not sit,0,train
xuan lu and meng ziyi not being invited to award shows and nominated for their roles in cql is homophobic,0,train
i changed my mind jotaro hates women but he respects dykes because they hold nothing but contempt for him,1,train
you know chris brown the shit when you see multiple dykes grinding and winding and screaming for him,0,train
yeah her ass to strict i wanna man like that i see them white bitches be saying all she does is sleep they will whip him anytime bye,1,train
i wish you all niggers stop wearing these fat ass fanny packs i hate them,1,train
grown ass men doing women activities and lil faggot boys taking your daughter homecoming queen crown this what the fuck yall wanted,1,train
these country mfs never start on time land of the free home of the niggers,1,train
<user> or that face you make when your peruvian bitch blows your dick like a pan flute,0,train
<user> chinaman satanist lee hsien loong criminals just had audible chatter in <number> wellington circle cavinder bull visited <number> marsiling lane singapore some time back showing family photos and giving false information,1,train
<user> so they should get raped by their own race lol,0,train
early in the morning and there already armenians driving like faggots,1,train
glad that white bitch got what she deserved killing that innocent black boy for no reason,1,train
bad asf ghetto bitch lmao,1,train
he got bitches and i got niggas but we know wassup 🤫,1,train
richy blunt smoking dick money this nigger pole,1,train
it is so obvious these white maggots are retarded intellectually and emotionally,1,train
<user> <user> lost lots of dads already this year to abusive women i am done crying,0,train
i do not pay attention to you niggers anyway,1,train
thinking she a pretty decent bitch but she a hoe prolly,1,train
i hate faggot ass niggas,1,train
fuck what you niggers are talking about,1,train
the next cracker who makes some racist joke on asians getting coughed on,1,train
fuck nazi white trash,1,train
<user> hey you socialist cocksuckers make sure you protect all of the little limp wristed left wing faggots from mean scary words,1,train
<user> the nigger has been prosperous too long so they gotta big up the below average play from the glorious white savior,1,train
you do lame shit you a lame bitch,1,train
<user> <user> i am proud to oppose islam and oppose the islamification of our country,1,train
<user> nice burner account nobody names their kid edwina unless they are georgia trailer trash,1,train
<user> <user> now i understand why mooslims keep their women in burkha i mean so ugly hai na,1,train
<user> <user> i ’ m super gay fuck,0,train
<user> he shouldn ’ t have glad we have immigrants though or that polish chef wouldn ’ t have taken him down with a narwhal tusk,1,train
<user> so islamaphobia bad anti semitic just fine no both are bad,0,train
muslim girls express how horny they are by saying they can ’ t wait to have kids 🤷 🏻 ‍ ♀ ️ 🤷 🏻 ‍ ♀ ️ 🤷 🏻 ‍ ♀ ️ 🤷 🏻 ‍ ♀ ️ 🤷 🏻 ‍ ♀ ️ 🤷 🏻 ‍ ♀ ️ 🤷 🏻 ‍ ♀ ️ 🤷 🏻 ‍ ♀ ️,0,train
also in our <number> most southern provinces islam only brings murder and destruction <user>,0,train
going to start exercising my constitutional right call people dumb faggots in public,1,train
<user> i jus don ’ t think it should be in a kid show 🤷 🏾 ‍ ♂ ️ ian homophobic but i ’ d cancel it too,0,train
yall favorite rappers artist can say faggot but when i say it yall try to turn up on me,0,train
im gonna eat every nonlesbian who says dyke fully knowing they should not i feed on stupid little bitches,1,train
is it bad that when a woman curve me i assum she a lesbian or a retard,1,train
i got a shooter on my right just in case a bitch try <number> do me wrong,1,train
<user> tell her refugee ass i ’ m on my way,0,train
<user> paris is the ghetto i hated it there 😭,1,train
aa crazy rich asians and never been kissed for today,0,train
white devils like it i am drinking coffee brought to me by white devils sidekicks,1,train
<user> ur noy missing anything trust us still boring af amp still white af,1,train
<user> but i have nobody to be gay for,1,train
non aussies calling blacks coons isnt cricket get back in your place you retards,1,train
<user> <user> bernie sanders wants to rape women as well because that just a special kind of guy he is when he fantasizes,1,train
what the fuck is sad boy hours you faggots,1,train
<user> retard that means you ’ re into yourself and you ’ re a guy so that makes you gay,0,train
<user> <user> it ’ not a problem because most illegal immigrants are coming from mexico so yeah,0,train
damn i really am into asians lmfao,0,train
i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers,1,train
christensen you can have my bitch after that pass 😍,1,train
he was like ew really i fucking hate that faggot 🤣 🤣 🤣 🤣 i lost it you all it was funny as shit,1,train
bitches be with african niggas talkin about “ with papi 🥰 ” nah bitch you with baba 😫 😭,1,train
god i fucking hate flynn stupid fucking idiot faggot i hate him i hate him i hate him,1,train
hoes gone be hoes,0,train
notourvoice these people are doing more damage than good for muslims they must be boycotted they are not voice of muslims for sure,0,train
<user> <user> no islamic culture demands the clipping do not interfere with their cultural traditions,0,train
<user> helping immigrants from all over the world drain the prosperity from developed nations via un immigration pact,0,train
<user> famous for killing an immigrant,1,train
no one zoë and i you dumb fucking h0e i fucking hate you so much im returning my plane tickets jesus christ change ur countdown you suck so much,1,train
islam makes everything clearer there is no ambiguity in the teaching of islam,0,train
i hate black people you tell a nigger not to do something and they go on and do it niggerantics,1,train
it legal to kill apostates in <number> muslim countries twitter muslims omg stop obsessing over islam haha,1,train
<user> idk man apparently you gotta be a queer to have morals we all must be gay then only explanation,1,train
everyone wants to act like they never did something and then claimed they dindu nuffin everybody dindu nuffin at one point in their life,1,train
<user> <user> these young homos need to be taught i s2 g,1,train
<user> i gay for you no homo tho,0,train
<user> thanks folks i was moking the feminazi from the original tweet i don ’ t need any assistance from you so have a nice day ☺ ️,1,train
<user> yuh we nigga ima cowboys fan unlike ur patriot faggot ass,1,train
get your fucking dirty nigger ass out of here nigger,1,train
a whole generation of white women is gonna get radicalized when they realize nazis are the only ones taking their safety seriously,0,train
some of you all retarded retarded,1,train
<user> gas the jews,1,train
<user> <user> do not you mean niggers everywhere 🤔 just seeing how fast i can lose my account with this word lol,1,train
<user> ashkenazi jewish folks are literally yt,0,train
being a lesbian is so good tbh,0,train
<user> <user> when like minded immigrants are settled into one community the results are obvious,1,train
<user> btch 🤣 🤣 🤣 🤣 🤣 here you go with your ghetto lingo bye,0,train
oh cause i thought a nigga who sound amp look gay said sum,1,train
bitch thats it im gay n i cant wait imma buy this bitch wednesday,1,train
<user> it ’ black refugees speaking at the protest themselves and addressing their issues,1,train
<user> period i agree w everything as a queer bitch from tbe same third world country aww twins,0,train
skrrt these fugazi ass negus and bitches fuck all uncle toms,1,train
<user> who she is doesn ’ t know but muslim not a victim here in india many hindus top mob lynched by muslims,1,train
<user> that kid was a eco fascist terrorist who blamed immigrants for climate change,0,train
hey liberals i am an immigrant and i hate niggers triggered yet snowflakes 😂 😂 😂 😂,1,train
<user> i hope ice arrest illegal immigrants and their sponsors,1,train
i had to be petty lmao ugly girl was going hard in the paint for her white trash sister in christ,1,train
don ’ t you hate when you accidentally fall for her so ghetto,1,train
so about this white female officer that killed the black guy talking about she thought it was her apartment and all that that hoe deserves to die and that that if i was his family i would kill her 🤷 🏾 ‍ ♀️,0,train
can ’ t believe a racist tweet ab my city and muslims got over 4 k likes from trump supports is this a fever dream,0,train
i am an ashkenazi jew,0,train
i got some pressure built up so the next bitch i fucc gone be extra ripped up,1,train
<user> homo we go lesbians,1,train
you all i can not even make this up but my damn netflix got hacked by some fuckin raghead i am pissed,1,train
<user> immigrants welcome criminal illegal aliens should be deported and maybe we can save the <number> billion a year we waste on them,1,train
<user> send me fat girls and i will become even gayer vro,0,train
i raped the jews because it rigged dave,1,train
nigger faggot retard beaner dishwasher time to see if i get ban,1,train
there ’ no sympathy for immigrants because they ’ re “ illegal ” but last time i checked everyone is illegal on stolen land 😐 😐 😐 😐 😐 😐,1,train
you don ’ t never fuck yo niggas bitch n you don ’ t never sneak around him,1,train
<user> why does she sound like she speaking ghetto,1,train
i be crying in my car nigga nightmares of dying in my car nigga,1,train
<user> just rent an illegal alien to translate,1,train
<user> and you are representative of jihadist terrorism trojan horse,1,train
i ’ m sorry gay community call me by my name wasn ’ t it fam,0,train
johnny in his head i thought gay people were meant to be fashionable,1,train
this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,1,train
time for confession bitch,1,train
this being single shit is ghetto as fuck,0,train
<user> hey thats gay,1,train
<user> i think immigrants should replace people like you,0,train
<user> <user> i ’ m actually an arab muslim and i hate spicy food so many ppl don ’ t know that lmao,0,train
<user> well that the primary reason but it mostly supported by the fact that niggers never keep the same energy all words no action,1,train
that cranberry bullshit is just some ghetto jello,0,train
<user> the duffers are too homophobic 😔,1,train
ugh i hate dykes 😐,1,train
<user> so many women do sad,0,train
<user> whatchu are <user> is a self hating homosexual who has to pay for your homosexual desires,1,train
hoes be to slick do not trust that bitch,1,train
wakeup muslim world this is time to show the muslims power niklokashmirkikhatir,0,train
<user> its totly gcc countries muslim leaders fault beacuse of them these mother fukers can do anything with muslims of end ia,0,train
<user> <user> see a faggot,1,train
asians really study black ppl and our culture and come on here acting black and making black music and dont even kno wtf goin on omg,1,train
<user> she was screaming nigger and that she wish she could kill all the niggers in public at a cvs bitch,1,train
<user> the real goat is my nigga droid “ but coach i ’ m hungry ” <user>,1,train
bitch b on dicks,1,train
do a split on the dick if you really with the shits little bitch 🤣 ok meek,1,train
<user> <user> get this nigger out of here,1,train
<user> listen to i know places not even thinking about taylor just listen to it and its just so gay,0,train
if they make fun of a religious preacher for crying then i can also make fun a homosexual for being a fucking faggot,1,train
asians are so sexy wallahi but then you link up with them and they ’ re like <number> ’ <number>,1,train
dreading working with that white bitch tonight 🙄 gotta get higher than normal,1,train
lmao niggas ruin literally everything,1,train
seen hustlers today n i just wanna say that white bitch was annoying throwing up every <number> seconds 😴 🙄 if u can not deal get out the game biitch ‼️,1,train
niggerdom is a deadly disease please send thoughts and prayers,1,train
<user> this is the ghetto i hate it here,0,train
<user> <user> please look at refugees iraqi in turkey they want home standwithiraqirefugees,0,train
niggers are so embarrassing,1,train
thanku rajsthan police hope this bitch get some sense always vomiting about hindu and muslim payalrohatgi,1,train
russians are the niggers of europe,1,train
<user> <user> she will blame it on jews or trump i bet,1,train
<user> global patience my foot where was global patience when <number> lakhs kashmiri hindus murdered raped and driven away from their homes by jihadis where was global patience when stones were pelted by pak proxies and jawans murdered by paki terrorists everyday,1,train
quarantime got them muslimah feelin hawrny daia <user>,1,train
<user> i love my muslim brother ☺ ️ ✌ 🏻,0,train
good morning everyone except illegal aliens and avocados 😂,1,train
i am the white devils whore 😭 😭 my ancestors must be so disappointed,1,train
<user> <user> please help us and help our children the lraqi refugees waiting in turkey standwithiraqirefugees,0,train
<user> big head and being a faggot in the front row,1,train
white people are fucking retarded,1,train
<user> hahaha arabs are weird but i fell sorry for them they are blind of hate because they got no god that teach them love,1,train
<user> <user> is the first beneficiary of undocumented immigrants he cannot run his golf courses without them,0,train
<user> its probably indonesian malaysian muslims who retweeted it,0,train
<user> i hate you fat whore,1,train
i love boom booms too faggots,1,train
<user> 😭 😭 😭 okay cause she was mad as fuck like what the niggers do to you ma am 😭 😭,1,train
when the new batch of niggas come out,0,train
<user> the redneck belt and the casual racism 😁 😁 😁,1,train
<user> im supposed to be worried about men instead thats that lgbtq bullshit why black women want all black men to be raging gay faggots no im interested in woman,1,train
bitches steam some veggies and swear theyre martha stewart,1,train
you guys are all faggots,1,train
<user> single religion in the floor of allah is islam search,0,train
<user> syrian muslims suffer a lots,0,train
niggas she acting like bitches and bitches be loving these niggas wassup with these bitches,1,train
<user> finally something about americans and not illegal immigrants there might be hope for you yet,1,train
<user> storm the place get the immigrants out lock the cbp officers in for months on end,0,train
the reality is you not finna learn which type of bitch you donating to until after you done spent on her,1,train
you know how retarded it is to get a “ i ’ m coming to you as a woman ” dm at the age of <number> 😭 😭 😭,1,train
<user> and everything everything book movie i ’ ve watched crazy rich asians yesterday amp i loved it,0,train
look fuck you fuck the plane you flew in on fuck them shoes fuck those socks with the belt on it fuck yo gay ass fairy faggot accent 👀,1,train
fuck all niggers they can burn in hell fuck rosa parks i slap that bitch well niggers need to learn niggers need to burn stupid ass bitch stupid ass black fucks fuck niggers,1,train
<user> <user> because they were ignorant retards we jews bury our dead with nothing of value,1,train
<user> why does he have to have towel head behind him,0,train
<user> i look gay,0,train
all my bitches gay do that make me a dyke,0,train
<user> nah but fr 😭 the double standards that a lot of muslim men hold make zero sense to me,0,train
all my friends and peers are being openly racist towards asians and this bitch is not having it,1,train
so boring that this janitor has me blocked someone call this porch monkey to clean my mf toilet,1,train
<user> <user> notice the towelhead music in the background,1,train
<user> 😯 😯 😔 this nigger does not love me enough i mean its just a hand bro,0,train
<user> <user> mariah carey can you not read white bitch v,1,train
<user> not stanning the boyz is an act of violent islamophobia btw,1,train
a industry dominated by not only whites but white males it needs to be diversified tremendously,0,train
<user> how about rape incest and unviable fetus not the women fault,0,train
shy nd geeky or mean and ghetto,1,train
<user> <user> modi always a hero who successfully killed muslims ✌ 🏻,1,train
fuck that hoe,1,train
like a dike bitch niggas can ’ t fuck wit me 😂,1,train
every job in the world exists solely to make a white woman life better,1,train
